epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7655,2.14765,2.33931,1.45126,0.78191,0.76266,0.81652,0.37111,1.75811,1.06824,1.1893,0.0678462,0.000324786,0.000324786
2,100.175,1.77362,1.10695,1.18732,0.87124,0.80373,0.87804,0.4195,1.67785,1.0134,1.1576,0.0348396,0.000651604,0.000651604
3,144.267,1.73883,1.01444,1.17383,0.86358,0.84682,0.89965,0.43906,1.64089,0.88449,1.13465,0.00182652,0.000971822,0.000971822
4,187.659,1.71192,0.92592,1.14649,0.87357,0.85471,0.91068,0.45272,1.6239,0.79937,1.11978,0.0009703,0.0009703,0.0009703
5,231.57,1.69368,0.86017,1.14619,0.86283,0.82763,0.89538,0.42952,1.67631,0.8095,1.13148,0.0009604,0.0009604,0.0009604
6,275.303,1.67888,0.80935,1.12539,0.88189,0.85149,0.9178,0.466,1.61132,0.76363,1.07385,0.0009505,0.0009505,0.0009505
7,319.152,1.66152,0.78678,1.08819,0.87981,0.85881,0.91602,0.46794,1.60799,0.73703,1.06566,0.0009406,0.0009406,0.0009406
8,362.556,1.63554,0.75983,1.0851,0.87346,0.858,0.91784,0.47548,1.60163,0.73594,1.07494,0.0009307,0.0009307,0.0009307
9,406.13,1.62651,0.75286,1.0774,0.87908,0.84649,0.91393,0.46445,1.63065,0.73699,1.08011,0.0009208,0.0009208,0.0009208
10,449.922,1.60882,0.72902,1.07403,0.8802,0.87939,0.92915,0.48527,1.59035,0.69692,1.06217,0.0009109,0.0009109,0.0009109
11,493.584,1.59882,0.71348,1.07153,0.89913,0.8748,0.92873,0.49339,1.57714,0.70115,1.07063,0.000901,0.000901,0.000901
12,537.378,1.58259,0.70489,1.07339,0.90137,0.88213,0.93196,0.48925,1.59522,0.70134,1.06802,0.0008911,0.0008911,0.0008911
13,581.118,1.56805,0.7021,1.0545,0.90375,0.88023,0.93361,0.49477,1.58501,0.6927,1.06634,0.0008812,0.0008812,0.0008812
14,625.014,1.57115,0.69182,1.05834,0.89854,0.87281,0.93272,0.48763,1.59256,0.68138,1.06991,0.0008713,0.0008713,0.0008713
15,668.856,1.54928,0.66294,1.05251,0.89559,0.8739,0.92718,0.48584,1.60195,0.67894,1.07594,0.0008614,0.0008614,0.0008614
16,712.117,1.54306,0.65969,1.04861,0.88894,0.89035,0.93699,0.49219,1.59179,0.66278,1.07639,0.0008515,0.0008515,0.0008515
17,755.9,1.53777,0.65531,1.05376,0.89991,0.8909,0.93447,0.49889,1.59615,0.66589,1.07415,0.0008416,0.0008416,0.0008416
18,799.718,1.53966,0.6546,1.05088,0.90394,0.88736,0.93582,0.48634,1.61902,0.67209,1.07426,0.0008317,0.0008317,0.0008317
19,843.59,1.53276,0.64328,1.04096,0.89912,0.8893,0.93653,0.49405,1.59239,0.66341,1.06814,0.0008218,0.0008218,0.0008218
20,887.285,1.51466,0.6418,1.04196,0.89796,0.88158,0.92972,0.49357,1.59551,0.6793,1.07264,0.0008119,0.0008119,0.0008119
21,931.159,1.51257,0.63967,1.0433,0.9065,0.88766,0.93597,0.49871,1.5885,0.65943,1.06772,0.000802,0.000802,0.000802
