epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.408,1.55204,1.68061,1.33972,0.95431,0.91141,0.9402,0.66138,1.27688,0.92097,1.23251,0.001,0.001,0.001
2,46.8185,1.24149,0.70282,1.17386,0.96388,0.93153,0.95557,0.69663,1.21284,0.5825,1.19914,0.0009802,0.0009802,0.0009802
3,58.2592,1.17349,0.58321,1.12636,0.96757,0.93937,0.96219,0.71068,1.18383,0.5218,1.16272,0.0009604,0.0009604,0.0009604
4,69.5536,1.14123,0.54641,1.10429,0.97451,0.93995,0.96228,0.72905,1.12964,0.49225,1.13703,0.0009406,0.0009406,0.0009406
5,80.9039,1.11522,0.51971,1.09377,0.97476,0.93849,0.96286,0.73331,1.12811,0.4908,1.12519,0.0009208,0.0009208,0.0009208
6,92.2725,1.08857,0.50046,1.0775,0.96772,0.94826,0.9656,0.74007,1.1148,0.47099,1.13382,0.000901,0.000901,0.000901
7,103.645,1.07865,0.48734,1.08058,0.968,0.94895,0.9658,0.73722,1.12526,0.47871,1.13344,0.0008812,0.0008812,0.0008812
8,114.984,1.06766,0.48404,1.06594,0.97131,0.94853,0.96719,0.7497,1.08122,0.45672,1.11008,0.0008614,0.0008614,0.0008614
9,126.333,1.04423,0.47131,1.05125,0.97278,0.95122,0.96885,0.7544,1.07128,0.45244,1.09723,0.0008416,0.0008416,0.0008416
10,137.788,1.03355,0.46432,1.04262,0.97788,0.94572,0.96611,0.75905,1.05552,0.44706,1.09518,0.0008218,0.0008218,0.0008218
11,149.217,1.02219,0.45529,1.04515,0.97485,0.95259,0.9723,0.7659,1.0514,0.43664,1.08753,0.000802,0.000802,0.000802
12,160.62,1.00993,0.45601,1.03928,0.97719,0.94987,0.97111,0.76005,1.05788,0.44051,1.09032,0.0007822,0.0007822,0.0007822
13,171.874,1.01222,0.45212,1.02902,0.97286,0.95195,0.97022,0.76305,1.04638,0.43755,1.0748,0.0007624,0.0007624,0.0007624
14,183.173,0.99244,0.44104,1.02376,0.96668,0.95684,0.97131,0.76574,1.04137,0.43481,1.0797,0.0007426,0.0007426,0.0007426
15,194.484,0.98542,0.43676,1.02186,0.98134,0.94507,0.97243,0.76596,1.04918,0.42479,1.08587,0.0007228,0.0007228,0.0007228
16,205.895,0.97725,0.4321,1.02209,0.9766,0.95379,0.97492,0.76965,1.04729,0.4273,1.09312,0.000703,0.000703,0.000703
17,217.21,0.98048,0.4321,1.02203,0.97578,0.95627,0.97357,0.7713,1.03013,0.42194,1.08213,0.0006832,0.0006832,0.0006832
18,228.556,0.96214,0.42149,1.01293,0.97394,0.95678,0.97394,0.77175,1.0354,0.42919,1.08327,0.0006634,0.0006634,0.0006634
19,239.85,0.95466,0.42465,1.00723,0.9735,0.95476,0.97367,0.77077,1.04641,0.43059,1.08619,0.0006436,0.0006436,0.0006436
20,251.105,0.95178,0.42049,1.00266,0.97771,0.95111,0.97451,0.77235,1.04239,0.42845,1.08761,0.0006238,0.0006238,0.0006238
21,262.443,0.93231,0.41496,1.00022,0.97569,0.95597,0.97551,0.77236,1.03425,0.42429,1.08846,0.000604,0.000604,0.000604
22,273.927,0.93733,0.41382,1.0069,0.97709,0.95597,0.97562,0.77286,1.01744,0.41564,1.07841,0.0005842,0.0005842,0.0005842
23,285.36,0.92819,0.40526,0.99654,0.97952,0.95728,0.97501,0.775,1.0183,0.40758,1.06741,0.0005644,0.0005644,0.0005644
24,296.747,0.91502,0.40485,0.99213,0.97734,0.96033,0.97563,0.77741,1.02327,0.41091,1.06999,0.0005446,0.0005446,0.0005446
25,308.066,0.9135,0.39991,0.98744,0.97773,0.95684,0.97598,0.78098,1.01359,0.41231,1.06091,0.0005248,0.0005248,0.0005248
26,319.579,0.91025,0.39763,0.98553,0.97449,0.95859,0.97689,0.78111,1.01268,0.40523,1.07058,0.000505,0.000505,0.000505
27,330.98,0.90943,0.3979,0.99222,0.98078,0.95593,0.97602,0.78584,1.01374,0.40862,1.07494,0.0004852,0.0004852,0.0004852
28,342.394,0.90042,0.39297,0.99532,0.98032,0.9593,0.97678,0.77958,1.02137,0.40205,1.08105,0.0004654,0.0004654,0.0004654
29,353.654,0.89798,0.39117,0.98358,0.97951,0.95507,0.97766,0.78021,1.01553,0.39719,1.07691,0.0004456,0.0004456,0.0004456
30,364.987,0.88722,0.38775,0.98129,0.97714,0.95768,0.97716,0.78013,1.02259,0.39731,1.07891,0.0004258,0.0004258,0.0004258
31,376.331,0.88584,0.38855,0.98235,0.9767,0.95663,0.97656,0.78101,1.01135,0.39788,1.07179,0.000406,0.000406,0.000406
32,387.648,0.88581,0.38945,0.97636,0.97874,0.96017,0.97723,0.7845,1.01634,0.39384,1.07888,0.0003862,0.0003862,0.0003862
33,398.865,0.87593,0.38669,0.9736,0.97973,0.96036,0.97733,0.78608,1.01216,0.3897,1.07711,0.0003664,0.0003664,0.0003664
34,410.287,0.87183,0.38422,0.97163,0.98133,0.95815,0.97867,0.78794,1.01126,0.38755,1.07498,0.0003466,0.0003466,0.0003466
35,421.583,0.87412,0.38146,0.97826,0.98429,0.95684,0.9797,0.78886,1.00629,0.3874,1.07447,0.0003268,0.0003268,0.0003268
36,432.967,0.86387,0.3804,0.97331,0.98409,0.9557,0.97871,0.78649,1.01192,0.38908,1.07775,0.000307,0.000307,0.000307
37,444.168,0.85889,0.37856,0.96934,0.98198,0.95728,0.97919,0.7871,1.00956,0.38985,1.07039,0.0002872,0.0002872,0.0002872
38,455.429,0.85474,0.37726,0.9724,0.97989,0.95611,0.9781,0.78726,1.0148,0.39352,1.06857,0.0002674,0.0002674,0.0002674
39,466.735,0.85706,0.3757,0.96208,0.98362,0.95902,0.97991,0.78879,1.00757,0.38547,1.06296,0.0002476,0.0002476,0.0002476
40,478.031,0.86158,0.37515,0.96542,0.98215,0.95946,0.9787,0.78655,1.00408,0.38625,1.06319,0.0002278,0.0002278,0.0002278
41,491.504,0.83206,0.36034,0.9598,0.97994,0.96077,0.97943,0.7871,1.01561,0.38986,1.0765,0.000208,0.000208,0.000208
42,502.719,0.82216,0.3512,0.95564,0.97854,0.96077,0.97898,0.78552,1.00791,0.38944,1.07231,0.0001882,0.0001882,0.0001882
43,513.849,0.81498,0.34854,0.95319,0.97679,0.96382,0.97956,0.78605,1.00246,0.38599,1.06788,0.0001684,0.0001684,0.0001684
44,525.029,0.80492,0.34441,0.9509,0.97668,0.96283,0.98015,0.78642,1.00227,0.38247,1.07246,0.0001486,0.0001486,0.0001486
45,536.109,0.81032,0.34414,0.95288,0.97854,0.96227,0.98026,0.78758,1.00263,0.38361,1.07227,0.0001288,0.0001288,0.0001288
46,547.256,0.80421,0.34244,0.95646,0.97857,0.96338,0.98055,0.78735,1.00457,0.3829,1.07222,0.000109,0.000109,0.000109
47,558.405,0.79849,0.34116,0.95239,0.98056,0.96295,0.97963,0.78754,1.00527,0.38108,1.07065,8.92e-05,8.92e-05,8.92e-05
48,569.563,0.79652,0.33883,0.94534,0.98017,0.96179,0.97968,0.78676,1.00449,0.38047,1.06777,6.94e-05,6.94e-05,6.94e-05
49,580.692,0.79121,0.33643,0.9531,0.98022,0.96317,0.98082,0.78829,0.99934,0.37896,1.06463,4.96e-05,4.96e-05,4.96e-05
50,591.894,0.78861,0.33787,0.94295,0.97943,0.96077,0.98031,0.78723,1.00476,0.38111,1.06891,2.98e-05,2.98e-05,2.98e-05
